Longitude,Latitude
-87.51521,41.70685
-87.52095,41.71174
-87.52611,41.71114
-87.52819,41.71635
-87.52916,41.73006
-87.52992,41.73324
-87.52977,41.74265
-87.53188,41.7483
-87.53265,41.75173
-87.5426,41.75534
-87.54301,41.75739
-87.54033,41.75885
-87.54848,41.76297
-87.55941,41.76793
-87.56365,41.77331
-87.56255,41.77586
-87.57183,41.78431
-87.57653,41.79288
-87.57565,41.79977
-87.5822,41.80876
-87.5927,41.81717
-87.601,41.83022
-87.61002,41.84554
-87.61433,41.85824
-87.61309,41.86423
-87.61091,41.86338
-87.6102,41.85538
-87.60734,41.85936
-87.60519,41.86537
-87.60628,41.86877
-87.61266,41.86791
-87.61369,41.87017
-87.60974,41.87692
-87.6096,41.88631
-87.60793,41.89598
-87.615,41.89647
-87.62118,41.90363
-87.62293,41.91434
-87.62696,41.92133
-87.62934,41.93225
-87.63493,41.93966
-87.64097,41.94407
-87.64209,41.94815
-87.63483,41.944
-87.63815,41.95514
-87.63998,41.96104
-87.6357,41.96115
-87.63029,41.96338
-87.64472,41.97007
-87.6469,41.97688
-87.6515,41.97675
-87.65143,41.98751
-87.65418,41.98744
-87.65785,42.00543
-87.66156,42.01815
