ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,ZIP,YEAR,POP,P0_44,P45_64,P65_,PER65,PERW,PERHIS,PERBLK,PERASN,PERAUTO,PERTRAN,PERPEDB,PERTELE,PERBACH,CASE4_11,CASE4_16,TEST4_16,MEDINC,PERNCITZ,PERASSIS,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,PERTROCC,PERHU1,PERHU2_9,PERHU10p,PERMOBH,PERNOINS,PERNOBB,CASE_5_1,TEST_5_1,cases_ests,GISJOIN_1,YEAR_1,STUSAB,ZCTA5A,GEOID,NAME_E,ALY7E001,ALY7E002,ALY7E003,ALY7E004,ALY7E005,ALY7E006,ALY7E007,ALY7E008,ALY7E009,ALY7E010,ALY7E011,ALY7E012,ALY7E013,ALY8E001,ALY8E002,ALY8E003,ALY8E004,ALY8E005,ALY8E006,ALY8E007,ALY8E008,ALY8E009,ALY8E010,ALY8E011,ALY8E012,ALY8E013,ALZFE001,ALZFE002,ALZFE003,ALZFE004,ALZFE005,ALZFE006,ALZFE007,ALZFE008,ALZFE009,ALZFE010,ALZFE011,ALZFE012,ALZFE013,NAME_M,ALY7M001,ALY7M002,ALY7M003,ALY7M004,ALY7M005,ALY7M006,ALY7M007,ALY7M008,ALY7M009,ALY7M010,ALY7M011,ALY7M012,ALY7M013,ALY8M001,ALY8M002,ALY8M003,ALY8M004,ALY8M005,ALY8M006,ALY8M007,ALY8M008,ALY8M009,ALY8M010,ALY8M011,ALY8M012,ALY8M013,ALZFM001,ALZFM002,ALZFM003,ALZFM004,ALZFM005,ALZFM006,ALZFM007,ALZFM008,ALZFM009,ALZFM010,ALZFM011,ALZFM012,ALZFM013,totalHU,crowdHU,PERCROWD
60601,60601,B5,G6350,S,934220,61223,41.8856419,-87.6215226,5281.197839,995446.0868,60601,2014-2018,14675,9432,3168,2075,0.141397,0.659421,0.086814,0.052266,0.179966,0.261451,0.178218,0.449679,0.077467,0.832552,29,35,189,103243,0.239387,0.005528,0.810139,0.007382,0.000868,0.00304,0.010421,0.017803,0.037289,0,0.962711,0,0.029972,0.210966,51,347,0.146974,G60601,2015-2019,US,60601,86000US60601,ZCTA5 60601,7217,4081,3223,18,604,3,233,3136,2358,13,756,0,9,578,177,75,102,0,0,0,401,231,0,98,0,72,700,455,397,0,0,0,58,245,1,0,235,0,9,ZCTA5 60601,887,643,642,32,315,7,200,590,476,21,363,18,18,350,148,95,119,18,18,18,277,236,18,111,18,85,334,230,209,18,18,18,94,228,3,18,228,18,18,8248,40,0.484966
60604,60604,B5,G6350,S,239822,0,41.8780955,-87.6284599,2676.659035,239824.6773,60604,2014-2018,782,469,220,93,0.118926,0.612532,0.043478,0.047315,0.296675,0.150602,0.154618,0.550201,0.108434,0.871087,,,,116250,0.162404,0,0.766932,0,0,0,0,0,0,0.011686,0.988314,0,0.003836,0.08142,7,36,0.194444,G60604,2015-2019,US,60604,86000US60604,ZCTA5 60604,387,200,196,0,4,0,0,187,172,11,4,0,0,21,0,0,0,0,0,0,21,18,3,0,0,0,19,5,5,0,0,0,0,14,10,0,4,0,0,ZCTA5 60604,134,70,71,11,6,11,11,89,86,18,6,11,11,20,11,11,11,11,11,11,20,19,5,11,11,11,17,7,7,11,11,11,11,15,12,11,6,11,11,381,29,7.611549
60605,60605,B5,G6350,S,3225618,2037762,41.8675665,-87.6172276,14393.47631,3235408.712,60605,2014-2018,27519,18480,6470,2569,0.093354,0.573458,0.058432,0.16534,0.161016,0.346656,0.286901,0.258748,0.068008,0.773832,51,74,441,111164,0.103601,0.049333,0.714412,0.010401,0.014108,0.030927,0.000885,0.015989,0.093916,0.007184,0.8989,0,0.026408,0.143743,122,751,0.16245,G60605,2015-2019,US,60605,86000US60605,ZCTA5 60605,12654,6336,4070,374,1325,193,374,6318,3977,682,1592,0,67,2130,825,641,41,86,0,57,1305,673,206,358,0,68,1297,749,439,130,43,105,32,548,442,40,66,0,0,ZCTA5 60605,1039,727,595,193,381,166,244,554,519,269,356,21,59,540,326,287,41,76,21,80,390,314,114,250,21,83,451,343,270,126,42,166,41,278,269,39,59,21,21,13320,331,2.484985
60606,60606,B5,G6350,S,569723,92503,41.8825241,-87.6374269,4419.41306,662224.8621,60606,2014-2018,3101,1964,706,431,0.138987,0.686553,0.062883,0.023541,0.180909,0.242353,0.149804,0.431373,0.127451,0.931492,12,22,132,131477,0.108352,0.008637,0.750098,0.012162,0.0357,0.009808,0,0.017262,0.0072,0.016,0.9768,0,0.023632,0.040787,30,210,0.142857,G60606,2015-2019,US,60606,86000US60606,ZCTA5 60606,1906,1046,768,31,200,0,47,860,657,59,144,0,0,58,0,0,0,0,0,0,58,58,0,0,0,0,125,55,42,0,13,0,0,70,70,0,0,0,0,ZCTA5 60606,282,225,172,35,137,11,44,181,170,60,77,11,11,95,11,11,11,11,11,11,95,95,11,11,11,11,99,55,52,11,20,11,11,58,58,11,11,11,11,1999,49,2.451226
60607,60607,B5,G6350,S,5927980,84715,41.8748511,-87.6495693,16961.88742,6012700.321,60607,2014-2018,29591,23912,4075,1604,0.054206,0.52178,0.083032,0.143963,0.224562,0.362396,0.267698,0.285297,0.062024,0.771378,83,143,526,93508,0.121152,0.076659,0.701144,0.005382,0.022648,0.028759,0.016706,0.011492,0.116808,0.209524,0.673667,0,0.03399,0.10138,247,1036,0.238417,G60607,2015-2019,US,60607,86000US60607,ZCTA5 60607,12083,6397,4362,480,1165,237,153,5686,3975,422,1192,0,97,1626,800,361,280,75,0,84,826,393,239,185,0,9,1309,561,326,117,73,0,45,748,455,106,154,0,33,ZCTA5 60607,872,611,450,184,247,157,85,554,484,154,264,21,68,328,221,141,160,65,21,42,210,187,108,97,21,14,227,133,140,70,43,21,57,195,156,72,70,21,37,12465,369,2.960289
60608,60608,B5,G6350,S,16322718,568479,41.8468804,-87.6706636,23475.57955,16891207.35,60608,2014-2018,79205,54670,16683,7852,0.099135,0.191251,0.506862,0.172426,0.120295,0.559437,0.287764,0.100713,0.03295,0.265971,217,381,1269,44043,0.154813,0.212549,0.409088,0.033471,0.020396,0.109536,0.056192,0.03565,0.215211,0.659667,0.123128,0.001015,0.151609,0.270886,718,2303,0.311767,G60608,2015-2019,US,60608,86000US60608,ZCTA5 60608,18046,9592,4078,1944,1525,638,1407,8454,4263,1682,1843,45,621,2839,1339,340,335,186,186,292,1500,497,567,297,0,139,17276,9788,2075,2657,1072,1157,2827,7488,2808,2002,1660,53,965,ZCTA5 60608,1117,743,433,373,238,181,248,674,399,345,330,53,182,452,283,158,181,71,123,118,271,167,169,104,27,98,993,792,274,444,202,277,512,533,329,371,307,57,260,25372,1604,6.32193
60609,60609,B5,G6350,S,20050131,91903,41.8126802,-87.6569347,21766.1614,20142044.63,60609,2014-2018,61495,41352,13166,6977,0.113456,0.14915,0.534352,0.243288,0.062964,0.671268,0.231324,0.063785,0.025547,0.135508,144,290,872,35179,0.185869,0.351308,0.338874,0.035461,0.028845,0.101057,0.068783,0.042238,0.267533,0.659592,0.070051,0.002179,0.156531,0.323254,684,1764,0.387755,G60609,2015-2019,US,60609,86000US60609,ZCTA5 60609,12347,7468,1452,1758,928,1381,1949,4879,1679,1141,1471,15,573,4751,1983,320,629,337,100,597,2768,789,1040,684,62,193,13937,8723,815,2379,898,1837,2794,5214,1028,1595,1598,27,966,ZCTA5 60609,1033,740,281,350,177,262,380,463,269,227,215,23,169,549,325,97,157,120,62,270,415,224,204,155,43,76,901,662,206,372,170,337,366,470,192,282,248,29,232,19717,1575,7.988031
60610,60610,B5,G6350,S,2997481,1177321,41.9067723,-87.6322312,11503.54904,3036270.425,60610,2014-2018,39019,25344,7646,6029,0.154514,0.687076,0.06666,0.145211,0.081037,0.301776,0.36386,0.191573,0.07918,0.750198,87,108,548,86803,0.063174,0.080751,0.705117,0.012628,0.005429,0.038887,0.005198,0.014438,0.082112,0.102183,0.815194,0.000512,0.038046,0.148481,144,954,0.150943,G60610,2015-2019,US,60610,86000US60610,ZCTA5 60610,21075,10493,6982,605,2311,210,385,10582,7534,546,2365,27,110,2511,1040,350,243,117,165,165,1471,352,425,428,0,266,1595,878,516,154,88,12,108,717,320,141,184,27,45,ZCTA5 60610,1000,787,696,236,358,101,166,705,658,155,367,44,68,440,309,145,148,106,155,100,344,171,203,180,24,215,422,275,208,168,62,25,119,264,158,104,123,44,70,23208,390,1.680455
60611,60611,B5,G6350,S,2117488,1522781,41.8939292,-87.6144969,13038.55972,2159716.819,60611,2014-2018,32426,17665,7682,7079,0.218312,0.714458,0.052458,0.02754,0.176525,0.264482,0.207737,0.38197,0.076828,0.8389,63,75,537,103522,0.124684,0.010952,0.761555,0.005898,0.007977,0.01755,0.002466,0.008702,0.026446,0.011458,0.962096,0,0.020385,0.108029,97,980,0.09898,G60611,2015-2019,US,60611,86000US60611,ZCTA5 60611,15895,7884,5420,309,1735,182,238,8011,5832,393,1699,68,19,729,289,186,37,14,52,0,440,329,89,22,0,0,1066,630,366,90,117,36,21,436,220,100,116,0,0,ZCTA5 60611,897,638,475,150,426,134,122,632,565,208,351,83,30,263,139,110,42,18,90,24,214,207,99,26,24,24,292,203,139,94,73,42,33,200,107,159,62,24,24,20267,372,1.835496
60612,60612,B5,G6350,S,9709580,0,41.8803125,-87.6877424,16658.342,9709583.016,60612,2014-2018,34311,24173,7002,3136,0.091399,0.213751,0.122585,0.599341,0.046195,0.473753,0.337696,0.097341,0.07075,0.348434,199,282,1181,41300,0.053802,0.32301,0.534926,0.052931,0.029782,0.051374,0.031542,0.031339,0.177857,0.572582,0.248258,0.000716,0.082652,0.320119,375,1854,0.202265,G60612,2015-2019,US,60612,86000US60612,ZCTA5 60612,6552,3338,1955,452,543,200,188,3214,1804,639,619,39,113,6583,2687,900,665,351,158,613,3896,1090,1100,1263,54,389,2346,1142,390,288,201,126,137,1204,437,287,393,0,87,ZCTA5 60612,475,305,224,122,137,79,85,313,197,141,127,64,65,559,317,173,171,101,65,159,392,221,211,218,47,127,315,181,99,84,75,64,69,204,100,114,120,24,65,13300,633,4.759398
