district,subdistrict,Area (Acres),Elevation,"Houses, Inhabited",Value of Houses,People_per_house,water_supplier,percent_southwark,percent_lambeth,pop1849,deaths1849,death_rate1849,pop1854,deaths1854,death_rate1854
Bermondsey,St. James Bermondsey,688,0,5674,107821,6.6,SouthwarkVauxhall,1,0,17386,249,14.32,19134,362,18.9192014
St. Saviour Southwark,St. Saviour Southwark,250,3,4659,174732,7.3,SouthwarkVauxhall,0.826838,0,19432,283,14.56,20133,371,18.4274574
St. Olave Southwark,St. Olave Southwark,250,3,4659,174732,9.1,SouthwarkVauxhall,1,0,8015,157,19.59,8015,161,20.0873362
St. Olave Southwark,St. John Horsleydown,250,3,4659,174732,7.7,SouthwarkVauxhall,0.837219,0,11100,192,17.3,11509,148,12.8595013
St. Saviour Southwark,Christchurch Southwark,250,3,4659,174732,8.5,SouthwarkVauxhall_Lambeth,0.180344,0.807445,15730,256,16.27,16470,113,6.8609593
Lambeth,Waterloo Road (1st),4015,3,17791,510341,8.1,SouthwarkVauxhall_Lambeth,0.236592,0.763408,13807,193,13.98,14521,58,3.9942153
Lambeth,Waterloo Road (2nd),4015,3,17791,510341,8.4,SouthwarkVauxhall_Lambeth,0.373706,0.626294,18137,243,13.4,18668,117,6.2674095
St. George Southwark,Borough Road,282,0,6663,155175,7.7,SouthwarkVauxhall_Lambeth,0.561958,0.438042,15635,312,19.96,16208,270,16.6584403
St. George Southwark,Kent Road,282,0,6663,155175,7.1,SouthwarkVauxhall_Lambeth,0.683467,0.225837,17016,267,15.69,18933,174,9.1903026
Lambeth,Lambeth Church (1st),4015,3,17791,510341,7.5,SouthwarkVauxhall_Lambeth,0.169753,0.830247,18409,215,11.68,18409,49,2.6617415
St. George Southwark,London Road,282,0,6663,155175,7.5,SouthwarkVauxhall_Lambeth,0.160198,0.669582,17490,257,14.69,18368,93,5.0631533
Lambeth,Lambeth Church (2nd),4015,3,17791,510341,7,SouthwarkVauxhall_Lambeth,0.326116,0.63683,25965,544,20.95,28062,193,6.8776281
Lambeth,Kennington (1st),4015,3,17791,510341,6.1,SouthwarkVauxhall_Lambeth,0.66962,0.110225,22926,187,8.16,27401,303,11.0579906
Camberwell,St. George  Camberwell,4342,4,6843,180418,5.6,SouthwarkVauxhall_Lambeth,0.311699,0.511955,14578,176,12.07,17138,132,7.7021823
Lambeth,Kennington (2nd),4015,3,17791,510341,5.7,SouthwarkVauxhall_Lambeth,0.444951,0.304527,17774,153,8.61,20583,142,6.8988971
Wandsworth,Battersea,11695,24,6459,193395,6,SouthwarkVauxhall,0.678323,0,9618,111,11.54,12150,171,14.0740741
Camberwell,Camberwell,4342,4,6843,180418,6.2,SouthwarkVauxhall,0.60074,0,16932,235,13.88,18921,240,12.684319
Lambeth,Brixton,4015,3,17791,510341,6.1,SouthwarkVauxhall_Lambeth,0.137275,0.640768,13590,81,5.96,16285,48,2.9474977
Wandsworth,Clapham,11695,24,6459,193395,6.1,SouthwarkVauxhall_Lambeth,0.511969,0.007995,15622,114,7.3,17306,165,9.5342656
Camberwell,Dulwich,4342,4,6843,180418,6.3,Lambeth,0,0.02472,1632,1,0.61,1632,0,0
Lambeth,Norwood,4015,3,17791,510341,6.6,Lambeth,0,0.273631,3749,2,0.53,4345,10,2.301496
Newington,St. Peter Walworth,624,-1,9370,207460,6.1,SouthwarkVauxhall_Lambeth,0.532219,0.467781,28392,446,15.71,30080,388,12.8989362
Bermondsey,Leather Market,688,0,5674,107821,6.7,SouthwarkVauxhall,0.922355,0,14754,226,15.32,16144,237,14.6803766
Newington,St. Mary Newington,624,-1,9370,207460,6.1,SouthwarkVauxhall_Lambeth,0.237955,0.511776,13655,143,10.47,14619,92,6.2931801
Newington,Trinity Newington,624,-1,9370,207460,6.5,SouthwarkVauxhall_Lambeth,0.508535,0.491465,20651,318,15.4,21335,210,9.842981
Bermondsey,St. Mary Magdalen,688,0,5674,107821,7.5,SouthwarkVauxhall,1,0,12942,259,20.01,15442,244,15.801062
Rotherhithe,Rotherhithe,886,0,2420,59072,6.4,SouthwarkVauxhall,0.779876,0,16949,352,20.77,19171,282,14.7097178
Camberwell,Peckham,4342,4,6843,180418,5.6,SouthwarkVauxhall,0.304909,0,17809,92,5.17,22182,174,7.844198
Wandsworth,Putney,11695,24,6459,193395,5.7,SouthwarkVauxhall,0.017756,0,5155,8,1.55,5473,9,1.6444363
Wandsworth,Wandsworth,11695,24,6459,193395,6.3,SouthwarkVauxhall,0.11557,0,9173,97,10.57,10306,59,5.7248205
Wandsworth,Streatham,11695,24,6459,193395,6.4,Lambeth,0,0.368857,8985,154,17.14,9081,15,1.6518005
