ZIP,POP,POPDENS,PER0_44,PER45_64,PER65,PERW,PERHIS,PERBLK,PERAUTO,PERTRAN,PERPEDB,PERTELE,MEDINC,PERCROWD,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,FDTRTPER,WS__5,CASE_5_1,TEST_5_1
60601,14675,0.015708,0.642726,0.215877,0.141397,0.659421,0.086814,0.052266,0.261451,0.178218,0.449679,0.077467,103243,0.484966,0.810139,0.007382,0.000868,0.00304,0.010421,0,55.353747,51,347
60604,782,0.003261,0.599744,0.28133,0.118926,0.612532,0.043478,0.047315,0.150602,0.154618,0.550201,0.108434,116250,7.611549,0.766932,0,0,0,0,0,52.203151,7,36
60605,27519,0.008531,0.671536,0.23511,0.093354,0.573458,0.058432,0.16534,0.346656,0.286901,0.258748,0.068008,111164,2.484985,0.714412,0.010401,0.014108,0.030927,0.000885,0,47.900487,122,751
60606,3101,0.005443,0.633344,0.227668,0.138987,0.686553,0.062883,0.023541,0.242353,0.149804,0.431373,0.127451,131477,2.451226,0.750098,0.012162,0.0357,0.009808,0,0,55.775578,30,210
60607,29591,0.004992,0.808084,0.137711,0.054206,0.52178,0.083032,0.143963,0.362396,0.267698,0.285297,0.062024,93508,2.960289,0.701144,0.005382,0.022648,0.028759,0.016706,0,61.040068,247,1036
60608,79205,0.004852,0.690234,0.210631,0.099135,0.191251,0.506862,0.172426,0.559437,0.287764,0.100713,0.03295,44043,6.32193,0.409088,0.033471,0.020396,0.109536,0.056192,0.166667,61.559835,718,2303
60609,61495,0.003067,0.672445,0.214099,0.113456,0.14915,0.534352,0.243288,0.671268,0.231324,0.063785,0.025547,35179,7.988031,0.338874,0.035461,0.028845,0.101057,0.068783,0.413793,39.705417,684,1764
60610,39019,0.013017,0.64953,0.195956,0.154514,0.687076,0.06666,0.145211,0.301776,0.36386,0.191573,0.07918,86803,1.680455,0.705117,0.012628,0.005429,0.038887,0.005198,0,53.438216,144,954
60611,32426,0.015313,0.544779,0.236909,0.218312,0.714458,0.052458,0.02754,0.264482,0.207737,0.38197,0.076828,103522,1.835496,0.761555,0.005898,0.007977,0.01755,0.002466,0,93.067471,97,980
60612,34311,0.003534,0.704526,0.204074,0.091399,0.213751,0.122585,0.599341,0.473753,0.337696,0.097341,0.07075,41300,4.759398,0.534926,0.052931,0.029782,0.051374,0.031542,0.238095,71.271572,375,1854
60613,50113,0.008898,0.717937,0.193682,0.08838,0.730349,0.112985,0.056951,0.351514,0.482764,0.077503,0.074668,82321,2.168915,0.655627,0.015182,0.014198,0.043577,0.015097,0,51.141255,238,1057
60614,71308,0.008825,0.74261,0.170738,0.086652,0.796012,0.06054,0.039182,0.370116,0.441566,0.091647,0.067261,107461,0.724122,0.726105,0.005589,0.006749,0.027396,0.005125,0,52.307878,270,1584
60615,41563,0.007254,0.642398,0.212713,0.144888,0.264274,0.061906,0.547073,0.417856,0.306516,0.194882,0.069177,44111,1.538386,0.484303,0.026616,0.031634,0.038754,0.025852,0,31.82874,237,1394
60616,54464,0.00526,0.603683,0.23689,0.159426,0.241627,0.084459,0.248458,0.537174,0.265904,0.12671,0.043156,45997,3.585743,0.550896,0.027304,0.022899,0.101464,0.025885,0.111111,48.074999,251,1229
60617,82534,0.002301,0.600419,0.244602,0.154979,0.063186,0.37656,0.553651,0.699459,0.247851,0.022112,0.025205,40265,3.689824,0.358929,0.057073,0.052511,0.059752,0.071173,0.521739,3.954203,522,2399
60618,94395,0.007293,0.687219,0.222459,0.090323,0.482579,0.404174,0.021135,0.573671,0.290961,0.056012,0.068173,73810,2.971885,0.510628,0.015575,0.013886,0.080937,0.032672,0,55.541868,536,2205
60619,61258,0.003928,0.541235,0.288828,0.169937,0.013941,0.014186,0.956136,0.638461,0.280644,0.017053,0.053887,33454,3.01679,0.388358,0.074721,0.064705,0.051546,0.054145,0.571429,13.174618,581,2313
60620,68096,0.003711,0.55385,0.272248,0.173902,0.011087,0.013378,0.962494,0.669552,0.26466,0.009229,0.041694,35890,2.333841,0.396955,0.082861,0.057115,0.059124,0.039362,0.454545,12.64915,700,2585
60621,29042,0.003007,0.614696,0.250052,0.135252,0.011019,0.036533,0.942704,0.512167,0.414575,0.024846,0.033043,20991,4.21834,0.345682,0.087709,0.062561,0.075074,0.067345,0.285714,31.484175,301,1034
60622,52793,0.008251,0.794973,0.145947,0.05908,0.646752,0.219328,0.061182,0.457518,0.344092,0.097471,0.077646,93988,2.800847,0.608907,0.013408,0.00962,0.057059,0.0115,0.111111,100,308,1468
60623,85979,0.006181,0.700753,0.20847,0.090778,0.02917,0.661371,0.303539,0.685552,0.218752,0.058719,0.031486,31634,11.274942,0.293095,0.044653,0.0186,0.085204,0.078378,0.230769,61.135027,1285,2709
60624,36158,0.003949,0.679435,0.212097,0.108468,0.027352,0.052962,0.903728,0.531102,0.384704,0.022471,0.030765,22992,6.396911,0.362294,0.100803,0.05157,0.070721,0.04886,0.117647,66.53608,430,1457
60625,79243,0.007897,0.688073,0.216335,0.095592,0.455384,0.327827,0.047134,0.52817,0.329709,0.071038,0.056592,64117,5.497822,0.466568,0.031851,0.011417,0.082363,0.036696,0,53.17007,596,1824
60626,49730,0.011263,0.667464,0.231369,0.101166,0.451317,0.206153,0.247416,0.412385,0.4115,0.099178,0.059418,40591,6.448866,0.442474,0.032053,0.018202,0.101527,0.033504,0.181818,25.65331,512,1664
60628,66724,0.002359,0.573961,0.257104,0.168935,0.019198,0.03435,0.932078,0.68019,0.263563,0.015166,0.029016,40261,2.647909,0.410436,0.071709,0.068736,0.035132,0.044833,0.954545,7.278283,624,2264
60629,111850,0.006349,0.696299,0.20422,0.099481,0.08228,0.710165,0.195485,0.761762,0.180401,0.03698,0.017168,42019,7.185513,0.300504,0.036032,0.032127,0.091544,0.066539,0.318182,34.06009,1225,2871
60630,57344,0.004637,0.559762,0.287859,0.152379,0.561244,0.27914,0.014404,0.740937,0.206349,0.019616,0.026547,72092,3.044979,0.481714,0.033327,0.039782,0.038971,0.040087,0.083333,49.327147,343,1532
60631,29529,0.003064,0.531444,0.283349,0.185208,0.821328,0.106743,0.01507,0.825697,0.107355,0.019081,0.037766,91034,0.586409,0.541975,0.015465,0.102079,0.036062,0.008187,0.142857,32.211999,131,1111
60632,91039,0.004729,0.702567,0.201848,0.095585,0.08783,0.839574,0.011039,0.730279,0.208628,0.041259,0.013258,42758,12.526122,0.304411,0.027855,0.017131,0.102013,0.078473,0.391304,44.331993,1115,2434
60633,12871,0.000483,0.582006,0.287779,0.130215,0.314505,0.449848,0.232072,0.839423,0.099119,0.031291,0.020423,47083,2.563016,0.430845,0.019393,0.060556,0.068057,0.036041,0.75,3.285511,158,972
60634,75995,0.004125,0.57988,0.269886,0.150234,0.540299,0.382459,0.017593,0.834355,0.104676,0.023809,0.021827,66741,3.56039,0.43501,0.038703,0.03829,0.050692,0.069077,0.055556,42.707001,634,3030
60636,32203,0.003178,0.562308,0.24535,0.192342,0.010496,0.076763,0.898395,0.642366,0.278293,0.028702,0.037106,27310,3.863919,0.347243,0.09389,0.0429,0.073238,0.067383,0.6,29.764942,372,1002
60637,47454,0.004046,0.669069,0.215809,0.115122,0.144519,0.028259,0.757597,0.416595,0.33769,0.173098,0.057761,28785,3.506913,0.473026,0.059843,0.046564,0.048767,0.047993,0.217391,27.747059,330,1877
60638,58797,0.002044,0.601765,0.258108,0.140126,0.4356,0.517713,0.029491,0.831466,0.126632,0.023596,0.01361,67984,3.282155,0.399755,0.024453,0.070004,0.049699,0.057453,0.333333,28.165165,518,1980
60639,90517,0.007165,0.677166,0.23294,0.089895,0.067435,0.779279,0.129114,0.73201,0.180192,0.042848,0.020287,44150,8.001728,0.332179,0.035223,0.024524,0.081867,0.076673,0,54.092701,1274,3062
60640,69715,0.011159,0.623237,0.247852,0.128911,0.553023,0.142566,0.165875,0.393921,0.450625,0.07222,0.066567,53831,4.015285,0.553672,0.026219,0.008973,0.070966,0.028614,0,48.30502,453,1716
60641,71023,0.006785,0.627107,0.261591,0.111302,0.366191,0.539966,0.01905,0.703483,0.209947,0.028505,0.041595,60073,4.296542,0.436694,0.029575,0.021422,0.077267,0.05915,0.157895,54.821412,548,1959
60642,20201,0.004718,0.775952,0.158606,0.065442,0.600267,0.201673,0.101233,0.422813,0.383198,0.103123,0.066279,101939,2.471421,0.687347,0.004091,0.004159,0.044178,0.00525,0,61.557222,73,499
60643,49870,0.002621,0.522579,0.293884,0.183537,0.203289,0.033066,0.733367,0.712053,0.210979,0.019437,0.050547,64477,0.859423,0.458123,0.034929,0.075378,0.043828,0.039545,0.428571,3.54754,482,2021
60644,47712,0.005258,0.62894,0.241092,0.129967,0.029175,0.064302,0.895184,0.554639,0.374039,0.035413,0.020218,27262,5.372953,0.36396,0.110004,0.055334,0.067355,0.059925,0.75,63.188382,599,1832
60645,47732,0.008163,0.629326,0.233156,0.137518,0.450034,0.170263,0.170452,0.6515,0.217362,0.071739,0.044526,53340,6.880677,0.444194,0.041645,0.014616,0.087507,0.041741,0.111111,27.451487,638,1946
60646,27987,0.002364,0.520885,0.274306,0.204809,0.725873,0.141887,0.010576,0.809602,0.117933,0.020939,0.043823,89480,2.557138,0.516869,0.018694,0.067402,0.013729,0.015116,0,40.390314,199,1120
60647,87509,0.008406,0.745946,0.18293,0.071124,0.443486,0.448251,0.054372,0.500038,0.337791,0.083932,0.06023,73443,3.901895,0.524537,0.018986,0.014783,0.071778,0.025531,0.029412,60.138423,522,2153
60649,46024,0.006066,0.593473,0.263775,0.142752,0.028572,0.025704,0.925561,0.485262,0.432351,0.025449,0.044913,30222,3.269834,0.429898,0.084664,0.07024,0.038851,0.035093,0.642857,17.252805,466,1833
60651,63218,0.006983,0.658452,0.22734,0.114208,0.041491,0.424879,0.512038,0.690017,0.223903,0.033041,0.037559,38083,6.771488,0.359073,0.0739,0.026371,0.093745,0.054826,0.5625,58.482745,693,2048
60652,43907,0.003381,0.626643,0.265402,0.107955,0.101852,0.398091,0.468946,0.827731,0.142125,0.002124,0.019837,68425,3.122382,0.418588,0.043127,0.071429,0.052461,0.039832,0.333333,16.523363,384,1248
60653,31972,0.005292,0.64153,0.229545,0.128925,0.042975,0.02155,0.903165,0.573562,0.293403,0.044204,0.06386,29569,2.620213,0.480543,0.063676,0.043415,0.05636,0.022833,0.0625,34.227579,301,1221
60654,19135,0.013063,0.73248,0.208623,0.058897,0.738124,0.052103,0.053724,0.245298,0.14639,0.44875,0.097147,112699,1.448898,0.784054,0.00119,0.00182,0.014,0.0063,0,56.553783,92,486
60655,28804,0.002525,0.588981,0.281489,0.129531,0.826101,0.082975,0.066414,0.854966,0.081758,0.022997,0.028217,97572,1.915063,0.435636,0.014119,0.182244,0.02879,0.023418,0,0,170,1088
60656,27579,0.003258,0.557925,0.27394,0.168135,0.763371,0.12263,0.011784,0.814563,0.131484,0.010472,0.033634,61599,1.825524,0.461408,0.016676,0.065206,0.049279,0.051457,0.25,30.50605,140,975
